Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
Anhui,Mainland China,01-23-2020T17:00,9,,
Beijing,Mainland China,01-23-2020T17:00,22,,
Chongqing,Mainland China,01-23-2020T17:00,9,,
Fujian,Mainland China,01-23-2020T17:00,5,,
Gansu,Mainland China,01-23-2020T17:00,2,,
Guangdong,Mainland China,01-23-2020T17:00,32,,2
Guangxi,Mainland China,01-23-2020T17:00,5,,
Guizhou,Mainland China,01-23-2020T17:00,3,,
Hainan,Mainland China,01-23-2020T17:00,5,,
Hebei,Mainland China,01-23-2020T17:00,1,1,
Heilongjiang,Mainland China,01-23-2020T17:00,2,,
Henan,Mainland China,01-23-2020T17:00,5,,
Hong Kong,Hong Kong,01-23-2020T17:00,2,,
Hubei,Mainland China,01-23-2020T17:00,444,17,28
Hunan,Mainland China,01-23-2020T17:00,9,,
Inner Mongolia,Mainland China,01-23-2020T17:00,,,
Jiangsu,Mainland China,01-23-2020T17:00,5,,
Jiangxi,Mainland China,01-23-2020T17:00,7,,
Jilin,Mainland China,01-23-2020T17:00,1,,
Liaoning,Mainland China,01-23-2020T17:00,3,,
Macau,Macau,01-23-2020T17:00,2,,
Ningxia,Mainland China,01-23-2020T17:00,1,,
Qinghai,Mainland China,01-23-2020T17:00,,,
Shaanxi,Mainland China,01-23-2020T17:00,3,,
Shandong,Mainland China,01-23-2020T17:00,6,,
Shanghai,Mainland China,01-23-2020T17:00,16,,
Shanxi,Mainland China,01-23-2020T17:00,1,,
Sichuan,Mainland China,01-23-2020T17:00,8,,
Taiwan,Taiwan,01-23-2020T17:00,1,,
Tianjin,Mainland China,01-23-2020T17:00,4,,
Tibet,Mainland China,01-23-2020T17:00,,,
Washington,US,01-23-2020T17:00,1,,
Xinjiang,Mainland China,01-23-2020T17:00,2,,
Yunnan,Mainland China,01-23-2020T17:00,2,,
Zhejiang,Mainland China,01-23-2020T17:00,27,,
,Japan,01-23-2020T17:00,1,,
,Thailand,01-23-2020T17:00,3,,
,South Korea,01-23-2020T17:00,1,,
,Singapore,01-23-2020T17:00,1,,
,Philippines,01-23-2020T17:00,,,
,Malaysia,01-23-2020T17:00,,,
,Vietnam,01-23-2020T17:00,2,,
,Australia,01-23-2020T17:00,,,
,Mexico,01-23-2020T17:00,,,
,Brazil,01-23-2020T17:00,,,
,Colombia,01-23-2020T17:00,,,
