Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
South Carolina,US,2020-04-29 02:32:29,29,0,0,34.22333378,-82.46170658
Louisiana,US,2020-04-29 02:32:29,130,9,0,30.2950649,-92.41419698
Virginia,US,2020-04-29 02:32:29,223,4,0,37.76707161,-75.63234615
Idaho,US,2020-04-29 02:32:29,662,16,0,43.4526575,-116.2415516
Iowa,US,2020-04-29 02:32:29,1,0,0,41.33075609,-94.47105874
Kentucky,US,2020-04-29 02:32:29,79,10,0,37.10459774,-85.28129668
Missouri,US,2020-04-29 02:32:29,12,0,0,40.19058551,-92.60078167
Oklahoma,US,2020-04-29 02:32:29,64,3,0,35.88494195,-94.65859267
Colorado,US,2020-04-29 02:32:29,1430,61,0,39.87432092,-104.3362578
Idaho,US,2020-04-29 02:32:29,3,0,0,44.89333571,-116.4545247
Illinois,US,2020-04-29 02:32:29,40,0,0,39.98815591,-91.18786813
Indiana,US,2020-04-29 02:32:29,7,1,0,40.7457653,-84.93671406
Mississippi,US,2020-04-29 02:32:29,123,8,0,31.47669768,-91.35326037
Nebraska,US,2020-04-29 02:32:29,143,2,0,40.5244942,-98.50117804
Ohio,US,2020-04-29 02:32:29,4,0,0,38.84541072,-83.4718964
Pennsylvania,US,2020-04-29 02:32:29,124,1,0,39.87140411,-77.21610347
Washington,US,2020-04-29 02:32:29,46,0,0,46.98299757,-118.5601734
Wisconsin,US,2020-04-29 02:32:29,4,1,0,43.96974651,-89.76782777
Vermont,US,2020-04-29 02:32:29,61,2,0,44.03217337,-73.14130877
South Carolina,US,2020-04-29 02:32:29,94,6,0,33.54338026,-81.63645384
Minnesota,US,2020-04-29 02:32:29,1,0,0,46.60962049,-93.4116826
Florida,US,2020-04-29 02:32:29,255,2,0,29.67866525,-82.35928158
North Carolina,US,2020-04-29 02:32:29,94,1,0,36.0434701,-79.39976137
California,US,2020-04-29 02:32:29,1533,55,0,37.64629437,-121.8929271
Colorado,US,2020-04-29 02:32:29,10,2,0,37.57250606,-105.7885451
New York,US,2020-04-29 02:32:29,1009,36,0,42.60060306,-73.97723916
Wyoming,US,2020-04-29 02:32:29,8,0,0,41.65498705,-105.7235415
Virginia,US,2020-04-29 02:32:29,80,4,0,38.02080697,-78.55481085
Michigan,US,2020-04-29 02:32:29,4,0,0,44.6846864,-83.59507875
Mississippi,US,2020-04-29 02:32:29,10,0,0,34.88084463,-88.57996173
Illinois,US,2020-04-29 02:32:29,3,0,0,37.18049267,-89.32910838
North Carolina,US,2020-04-29 02:32:29,4,0,0,35.9223796,-81.17751948
Virginia,US,2020-04-29 02:32:29,653,20,0,38.814003,-77.08183073
Oklahoma,US,2020-04-29 02:32:29,1,0,0,36.73090616,-98.32408495
Iowa,US,2020-04-29 02:32:29,86,3,0,43.28383218,-91.37860922
Michigan,US,2020-04-29 02:32:29,84,1,0,42.59147037,-85.89102866
Maryland,US,2020-04-29 02:32:29,115,5,0,39.62357628,-78.69280486
New York,US,2020-04-29 02:32:29,35,2,0,42.25748406,-78.02750466
North Carolina,US,2020-04-29 02:32:29,2,0,0,36.49360862,-81.12857041
Virginia,US,2020-04-29 02:32:29,5,0,0,37.78636074,-80.00222498
Pennsylvania,US,2020-04-29 02:32:29,1235,87,0,40.46809875,-79.98167747
Indiana,US,2020-04-29 02:32:29,504,37,0,41.09194313,-85.06800636
Kentucky,US,2020-04-29 02:32:29,9,0,0,36.75197631,-86.19457544
Louisiana,US,2020-04-29 02:32:29,90,9,0,30.65385745,-92.82442028
Ohio,US,2020-04-29 02:32:29,103,19,0,40.77285242,-84.10802343
South Carolina,US,2020-04-29 02:32:29,10,1,0,32.98837386,-81.35321066
Michigan,US,2020-04-29 02:32:29,67,4,0,45.03477666,-83.62212411
California,US,2020-04-29 02:32:29,2,0,0,38.59678594,-119.8223594
California,US,2020-04-29 02:32:29,8,0,0,38.44583082,-120.65696
Virginia,US,2020-04-29 02:32:29,15,1,0,37.34081025,-77.98584649
Virginia,US,2020-04-29 02:32:29,9,0,0,37.60308293,-79.14548696
Mississippi,US,2020-04-29 02:32:29,26,0,0,31.17467303,-90.80501621
Alaska,US,2020-04-29 02:32:29,175,4,0,61.14998174,-149.1426986
Kansas,US,2020-04-29 02:32:29,0,0,0,38.21413251,-95.29272815
Kentucky,US,2020-04-29 02:32:29,8,1,0,38.00671029,-84.99171713
South Carolina,US,2020-04-29 02:32:29,152,6,0,34.51828081,-82.63959517
Tennessee,US,2020-04-29 02:32:29,24,1,0,36.12684348,-84.19965764
Texas,US,2020-04-29 02:32:29,26,0,0,31.81534745,-95.65354823
Missouri,US,2020-04-29 02:32:29,2,0,0,39.98492163,-94.80163024
Texas,US,2020-04-29 02:32:29,19,0,0,32.30468633,-102.6376548
Maine,US,2020-04-29 02:32:29,42,2,0,44.1664747,-70.20380627
Texas,US,2020-04-29 02:32:29,46,0,0,31.25457347,-94.60901487
Maryland,US,2020-04-29 02:32:29,1571,78,0,39.00670238,-76.60329337
Minnesota,US,2020-04-29 02:32:29,186,8,0,45.27476015,-93.24604565
North Carolina,US,2020-04-29 02:32:29,23,0,0,34.97403241,-80.09953279
Nebraska,US,2020-04-29 02:32:29,2,0,0,42.17695516,-98.0666283
Michigan,US,2020-04-29 02:32:29,9,0,0,44.99690221,-85.15503082
Arizona,US,2020-04-29 02:32:29,380,5,0,35.39465006,-109.4892383
Iowa,US,2020-04-29 02:32:29,2,2,0,40.74324454,-92.86865906
Georgia,US,2020-04-29 02:32:29,65,5,0,31.74847232,-82.28909114
Virginia,US,2020-04-29 02:32:29,17,0,0,37.37569884,-78.81340003
Texas,US,2020-04-29 02:32:29,2,0,0,28.10556197,-96.9995047
Colorado,US,2020-04-29 02:32:29,2312,136,0,39.64977461,-104.3353617
Colorado,US,2020-04-29 02:32:29,8,0,0,37.19474156,-107.0476867
Michigan,US,2020-04-29 02:32:29,18,1,0,44.0636262,-83.89277559
Arkansas,US,2020-04-29 02:32:29,2,0,0,34.29145151,-91.37277296
Virginia,US,2020-04-29 02:32:29,865,32,0,38.8767675,-77.10139853
Pennsylvania,US,2020-04-29 02:32:29,50,2,0,40.81665618,-79.46290811
Texas,US,2020-04-29 02:32:29,2,0,0,34.96507426,-101.3574874
Maine,US,2020-04-29 02:32:29,5,0,0,46.65926321,-68.59841248
Nebraska,US,2020-04-29 02:32:29,0,0,0,41.56896142,-101.6959559
Louisiana,US,2020-04-29 02:32:29,576,36,0,30.20406249,-90.9132841
North Carolina,US,2020-04-29 02:32:29,4,0,0,36.43296207,-81.49862729
Ohio,US,2020-04-29 02:32:29,6,0,0,40.84772277,-82.27280781
Wisconsin,US,2020-04-29 02:32:29,2,0,0,46.31956891,-90.67837132
Arkansas,US,2020-04-29 02:32:29,13,0,0,33.19153461,-91.7698471
Ohio,US,2020-04-29 02:32:29,113,11,0,41.70860332,-80.74830218
Washington,US,2020-04-29 02:32:29,17,2,0,46.18894415,-117.2022851
Louisiana,US,2020-04-29 02:32:29,177,3,0,29.89946234,-91.06461642
Texas,US,2020-04-29 02:32:29,16,1,0,28.89333001,-98.52730485
Kansas,US,2020-04-29 02:32:29,9,0,0,39.53185661,-95.30870026
Missouri,US,2020-04-29 02:32:29,2,0,0,40.43238737,-95.42970639
Ohio,US,2020-04-29 02:32:29,3,1,0,39.33425634,-82.04278644
Georgia,US,2020-04-29 02:32:29,7,0,0,31.29633502,-82.87545866
New Jersey,US,2020-04-29 02:32:29,868,35,0,39.47538693,-74.65848483
Oklahoma,US,2020-04-29 02:32:29,1,0,0,34.37366573,-96.03802487
Mississippi,US,2020-04-29 02:32:29,89,0,0,33.08658803,-89.57838564
Missouri,US,2020-04-29 02:32:29,1,0,0,39.215877,-91.84242683
Iowa,US,2020-04-29 02:32:29,1,0,0,41.6844628,-94.90581859
Ohio,US,2020-04-29 02:32:29,32,3,0,40.55998859,-84.2242143
Virginia,US,2020-04-29 02:32:29,39,1,0,38.16404586,-79.12461614
South Dakota,US,2020-04-29 02:32:29,1,0,0,43.71757685,-98.56050467
Texas,US,2020-04-29 02:32:29,12,0,0,29.88548725,-96.27736949
Alabama,US,2020-04-29 02:32:29,40,4,0,32.53952745,-86.64408227
Louisiana,US,2020-04-29 02:32:29,71,7,0,31.07796211,-92.00079449
Colorado,US,2020-04-29 02:32:29,10,0,0,37.31940883,-102.5603223
Georgia,US,2020-04-29 02:32:29,22,1,0,31.55456473,-82.45936528
Florida,US,2020-04-29 02:32:29,20,3,0,30.33060121,-82.28467476
Georgia,US,2020-04-29 02:32:29,21,2,0,31.32669878,-84.44218806
Alabama,US,2020-04-29 02:32:29,171,3,0,30.72774991,-87.72207058
Georgia,US,2020-04-29 02:32:29,202,6,0,33.06882326,-83.24701748
Kentucky,US,2020-04-29 02:32:29,9,0,0,37.05842757,-88.99427697
Maryland,US,2020-04-29 02:32:29,2631,107,0,39.45784712,-76.62911955
Maryland,US,2020-04-29 02:32:29,1977,90,0,39.30211911,-76.61151012
South Carolina,US,2020-04-29 02:32:29,9,0,0,33.21927586,-81.05659969
Texas,US,2020-04-29 02:32:29,6,0,0,29.74619598,-99.24598147
Georgia,US,2020-04-29 02:32:29,18,0,0,34.35607081,-83.49644388
